,player_id,player,receptions,transitions,solo_transitions,minutes_played,receptions_per_90,transitions_per_90,solo_transitions_per_90
1,4645,Isobel Mary Christiansen,392,23,12,1917,18.4,1.1,0.6
2,4647,So-Yun Ji,302,33,22,1307,20.8,2.3,1.5
3,4658,Keira Walsh,436,22,10,1776,22.1,1.1,0.5
6,4865,Josie Green,128,4,1,1003,11.5,0.4,0.1
7,5016,Jessica Fishlock,241,20,14,1601,13.5,1.1,0.8
8,5076,Emily Louise van Egmond,211,13,7,1792,10.6,0.7,0.4
9,5078,Alanna Stephanie Kennedy,269,7,2,1570,15.4,0.4,0.1
10,5084,Denise O'Sullivan,99,8,6,761,11.7,0.9,0.7
11,5087,Samantha June Mewis,145,14,11,1147,11.4,1.1,0.9
12,10093,Yana Daniëls,120,6,3,1713,6.3,0.3,0.2
13,10108,Pernille Mosegaard Harder,66,11,10,1286,4.6,0.8,0.7
14,10124,Dagný Brynjarsdóttir,42,0,0,802,4.7,0.0,0.0
15,10172,Jill Scott,223,17,10,1235,16.3,1.2,0.7
16,10188,Caroline Weir,197,18,13,1440,12.3,1.1,0.8
17,10193,Chloe Arthur,136,7,5,1326,9.2,0.5,0.3
18,10251,Fara Williams,195,19,9,1088,16.1,1.6,0.7
19,10405,Lia Wälti,375,21,13,1567,21.5,1.2,0.7
20,10650,Jill Roord,165,15,9,1312,11.3,1.0,0.6
21,10654,Jackie Groenen,204,14,11,1627,11.3,0.8,0.6
22,10658,Danielle van de Donk,148,13,9,1259,10.6,0.9,0.6
23,15421,Kenza Dali,138,9,6,1356,9.2,0.6,0.4
24,15549,Sophie Louise Ingle,143,18,16,1226,10.5,1.3,1.2
25,15562,Lucy Staniforth,84,5,2,670,11.3,0.7,0.3
26,15563,Charlie Wellings,65,3,3,1459,4.0,0.2,0.2
27,15565,Marisa Ewers,171,5,4,1303,11.8,0.3,0.3
28,15573,Abbey-Leigh Stringer,142,8,6,695,18.4,1.0,0.8
29,15577,Angharad James,393,20,8,1980,17.9,0.9,0.4
30,15579,Inessa Kaagman,173,10,7,1896,8.2,0.5,0.3
31,15616,Kim Little,188,12,6,1268,13.3,0.9,0.4
32,15628,Christie Murray,182,10,9,1395,11.7,0.6,0.6
33,15648,Melanie Leupolz,289,18,10,1427,18.2,1.1,0.6
35,15726,Lauren Bruton,18,1,1,718,2.3,0.1,0.1
36,16384,Carla Humphrey,127,6,3,1636,7.0,0.3,0.2
37,16386,Lucy Hope,134,10,4,1248,9.7,0.7,0.3
39,18145,Ria Percival,106,3,1,1440,6.6,0.2,0.1
40,18147,Kate Longhurst,127,6,2,1401,8.2,0.4,0.1
41,19416,Laura Coombs,96,7,5,634,13.6,1.0,0.7
42,19500,Sarah Emma Mayling,64,5,3,1564,3.7,0.3,0.2
43,19501,Hayley Ladd,182,10,6,1110,14.8,0.8,0.5
44,19780,Rachel Rowe,158,9,7,1232,11.5,0.7,0.5
45,20034,Danielle Buet,94,5,4,1039,8.1,0.4,0.3
46,21556,Connie Scofield,65,1,0,571,10.2,0.2,0.0
48,22798,So-Hyun Cho,135,6,5,1082,11.2,0.5,0.4
49,23289,Emily Simpkins,66,2,1,531,11.2,0.3,0.2
50,23413,Megan Connolly,117,2,0,1233,8.5,0.1,0.0
51,25547,Chloe Logarzo,31,1,0,585,4.8,0.2,0.0
52,25610,Mana Iwabuchi,52,3,2,981,4.8,0.3,0.2
54,26570,Amalie Vevle Eikeland,68,5,3,1576,3.9,0.3,0.2
55,31534,Ella Toone,138,15,8,1776,7.0,0.8,0.4
56,31540,Katie Zelem,297,22,17,1268,21.1,1.6,1.2
57,31551,Kit Graham,136,12,9,1104,11.1,1.0,0.7
58,31564,Molly Pike,71,10,5,1050,6.1,0.9,0.4
60,31566,Lucy Whipp,122,3,0,1248,8.8,0.2,0.0
62,31713,Maéva Clemaron,103,7,3,544,17.0,1.2,0.5
63,32169,Jamie-Lee Napier,62,2,2,1442,3.9,0.1,0.1
64,34375,Emma Rose Kelly,36,2,0,796,4.1,0.2,0.0
65,35406,Ruesha Littlejohn,63,3,3,888,6.4,0.3,0.3
67,36801,Aimee Palmer,88,5,2,868,9.1,0.5,0.2
68,45156,Malin Gut,141,8,5,671,18.9,1.1,0.7
69,46533,Ramona Petzelberger,71,5,5,788,8.1,0.6,0.6
70,46539,Nadine Hanssen,84,3,1,833,9.1,0.3,0.1
75,46737,Ella Jade Mastrantonio,128,10,5,921,12.5,1.0,0.5
76,46738,Emma Bissell,18,1,1,794,2.0,0.1,0.1
79,47520,Mollie Green,93,3,3,956,8.8,0.3,0.3
83,77717,Olivia McLoughlin,27,0,0,608,4.0,0.0,0.0
